id,id1,galex_objid,sdss_objid,u,g,r,i,z,extinction_u,extinction_g,extinction_r,extinction_i,extinction_z,nuv_mag,fuv_mag,class,spectrometric_redshift,nuv-u,nuv-g,nuv-r,nuv-i,nuv-z,u-g,u-r,u-i,u-z,g-r,g-i,g-z,r-i,r-z,i-z,fuv-nuv,fuv-u,fuv-g,fuv-r,fuv-i,fuv-z,pred
41,618,6.37841E+18,1.23767E+18,20.24913216,19.65653229,19.08722496,18.85463142,18.40540314,0.096700922,0.075348705,0.052125886,0.038735118,0.028811812,21.36081314,22.14595032,1,0.28635034,1.111680984,1.704280853,2.273588181,2.506181717,2.955410004,0.592599869,1.161907196,1.394500732,1.843729019,0.569307327,0.801900864,1.25112915,0.232593536,0.681821823,0.449228287,-0.785137177,-1.896818161,-2.48941803,-3.058725357,-3.291318893,-3.74054718,1
42,636,6.37841E+18,1.23767E+18,20.23424339,20.05077744,19.46123886,19.03550339,18.89850807,0.100481234,0.0782943,0.054163635,0.040249385,0.029938146,20.96020317,20.76519012,1,0.239578143,0.725959778,0.909425735,1.49896431,1.924699783,2.061695099,0.183465958,0.773004532,1.198740005,1.335735321,0.589538574,1.015274048,1.152269363,0.425735474,0.562730789,0.136995316,0.195013046,-0.530946732,-0.714412689,-1.303951263,-1.729686737,-1.866682053,1
43,637,6.37841E+18,1.23767E+18,18.41135788,17.79177856,17.81514931,17.76995277,17.43946266,0.103710838,0.080810778,0.055904523,0.041543052,0.030900398,19.43730736,20.22903252,1,2.335783958,1.025949478,1.645528793,1.622158051,1.667354584,1.997844696,0.619579315,0.596208572,0.641405106,0.971895218,-0.023370743,0.02182579,0.352315903,0.045196533,0.375686646,0.330490112,-0.791725159,-1.817674637,-2.437253952,-2.413883209,-2.459079742,-2.789569855,1
44,638,6.37841E+18,1.23767E+18,18.41135788,17.79177856,17.81514931,17.76995277,17.43946266,0.103710838,0.080810778,0.055904523,0.041543052,0.030900398,19.43730736,20.22903252,1,2.334300518,1.025949478,1.645528793,1.622158051,1.667354584,1.997844696,0.619579315,0.596208572,0.641405106,0.971895218,-0.023370743,0.02182579,0.352315903,0.045196533,0.375686646,0.330490112,-0.791725159,-1.817674637,-2.437253952,-2.413883209,-2.459079742,-2.789569855,1
45,671,6.37767E+18,1.23767E+18,20.25893593,19.9291954,19.99861336,20.03389359,20.24686432,0.178723246,0.139259949,0.096339382,0.071590491,0.053250171,21.36944199,21.555933,0,0.00015445,1.110506058,1.440246582,1.370828629,1.335548401,1.122577667,0.329740524,0.260322571,0.225042343,0.012071609,-0.069417953,-0.104698181,-0.317668915,-0.035280228,-0.248250961,-0.212970734,-0.186491013,-1.29699707,-1.626737595,-1.557319641,-1.522039413,-1.30906868,0
46,762,6.37781E+18,1.23767E+18,20.81337166,20.40311623,20.3718071,20.18694687,19.74286079,0.095387056,0.074324943,0.051417653,0.038208827,0.028420348,20.92997551,20.58293724,1,0.408434242,0.116603851,0.526859283,0.558168411,0.743028641,1.187114716,0.410255432,0.44156456,0.626424789,1.070510864,0.031309128,0.216169357,0.660255432,0.184860229,0.628946304,0.444086075,0.347038269,0.230434418,-0.179821014,-0.211130142,-0.395990372,-0.840076447,1
47,772,3.72131E+18,1.23767E+18,21.71201134,21.29878235,20.26598358,19.51107025,19.23933983,0.126561999,0.09861625,0.068222262,0.050696455,0.037708849,22.05491257,22.8044281,1,0.459452301,0.34290123,0.756130219,1.788928986,2.543842316,2.815572739,0.413228989,1.446027756,2.200941086,2.472671509,1.032798767,1.787712097,2.05944252,0.75491333,1.026643753,0.271730423,-0.749515533,-1.092416763,-1.505645752,-2.538444519,-3.293357849,-3.565088272,1
48,895,6.37482E+18,1.23767E+18,19.96842766,19.60264397,19.36470413,19.08111382,18.96505356,0.118235685,0.092128448,0.063734032,0.047361217,0.035228044,20.34137917,21.66119003,1,0.484260052,0.372951508,0.738735199,0.976675034,1.26026535,1.376325607,0.365783691,0.603723526,0.887313843,1.0033741,0.237939835,0.521530151,0.637590408,0.283590317,0.399650574,0.116060257,-1.319810867,-1.692762375,-2.058546066,-2.296485901,-2.580076218,-2.696136475,1
49,896,6.37482E+18,1.23767E+18,19.77283287,19.25029564,18.45347404,18.07755661,17.61358643,0.114476882,0.08919961,0.06170788,0.045855567,0.034108117,21.2164135,21.74502373,1,0.299553841,1.443580627,1.966117859,2.762939453,3.138856888,3.602827072,0.522537231,1.319358826,1.69527626,2.159246445,0.796821594,1.172739029,1.636709213,0.375917435,0.839887619,0.463970184,-0.528610229,-1.972190857,-2.494728088,-3.291549683,-3.667467117,-4.131437302,1
50,897,6.37482E+18,1.23767E+18,19.97319984,19.87228584,19.67302322,19.62282181,19.53553963,0.089187965,0.069494657,0.048076082,0.035725683,0.026573343,20.94306183,20.98607445,1,0.834445596,0.969861984,1.070775986,1.270038605,1.320240021,1.407522202,0.100914001,0.30017662,0.350378036,0.437660217,0.199262619,0.249464035,0.336746216,0.050201416,0.137483597,0.087282181,-0.043012619,-1.012874603,-1.113788605,-1.313051224,-1.36325264,-1.450534821,1
